entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name
A6XA80	LTC4S_CAVPO	Leukotriene C4 synthase (LTC4 synthase) (EC 4.4.1.20) (Glutathione S-transferase LTC4) (EC 2.5.1.-) (Leukotriene-C(4) synthase)	MAPEG family	Cavia porcellus (Guinea pig)	4.4.1.20; 2.5.1.-	LTC4S	enzyme activator activity [GO:0008047]; leukotriene-C4 synthase activity [GO:0004464]; transferase activity [GO:0016740]	Leukotriene C4 synthase
O00482	NR5A2_HUMAN	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	Nuclear hormone receptor family, NR5 subfamily	Homo sapiens (Human)		NR5A2	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; phospholipid binding [GO:0005543]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]	Nuclear receptor subfamily 5 group A member 2
A0SYQ0	PTGES_CANLF	Prostaglandin E synthase (EC 5.3.99.3) (Glutathione peroxidase PTGES) (EC 1.11.1.-) (Glutathione transferase PTGES) (EC 2.5.1.18) (Microsomal prostaglandin E synthase 1) (MPGES-1)	MAPEG family	Canis lupus familiaris (Dog) (Canis familiaris)	5.3.99.3; 1.11.1.-; 2.5.1.18	PTGES	glutathione binding [GO:0043295]; glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; prostaglandin-D synthase activity [GO:0004667]; prostaglandin-E synthase activity [GO:0050220]	Prostaglandin E synthase
O00264	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	Cytochrome b5 family, MAPR subfamily	Homo sapiens (Human)		PGRMC1	amyloid-beta binding [GO:0001540]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; steroid binding [GO:0005496]	Membrane-associated progesterone receptor component 1
G3V9H8	RET_RAT	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	Protein kinase superfamily, Tyr protein kinase family	Rattus norvegicus (Rat)	2.7.10.1	Ret	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Proto-oncogene tyrosine-protein kinase receptor Ret
C0HJB3	MANA_CANEN	Alpha-mannosidase (JBM) (Jbalpha-man) (EC 3.2.1.24) [Cleaved into: Alpha-mannosidase, heavy subunit; Alpha-mannosidase, light subunit]	Glycosyl hydrolase 38 family	Canavalia ensiformis (Jack bean) (Dolichos ensiformis)	3.2.1.24		alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]	Alpha-mannosidase
O00329	PK3CD_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	PI3/PI4-kinase family	Homo sapiens (Human)	2.7.1.137; 2.7.1.153	PIK3CD	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphatidylinositol-3,4-bisphosphate 5-kinase activity [GO:0052812]; phosphatidylinositol 3-kinase activity [GO:0035004]; phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; phosphatidylinositol kinase activity [GO:0052742]	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
O00443	P3C2A_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)	PI3/PI4-kinase family	Homo sapiens (Human)	2.7.1.137; 2.7.1.153; 2.7.1.154	PIK3C2A	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; clathrin binding [GO:0030276]; phosphatidylinositol-3,4-bisphosphate 5-kinase activity [GO:0052812]; phosphatidylinositol 3-kinase activity [GO:0035004]; phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; phosphatidylinositol binding [GO:0035091]; phosphatidylinositol kinase activity [GO:0052742]	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha
E9PTA2	TRPM2_RAT	Transient receptor potential cation channel subfamily M member 2	Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM2 sub-subfamily	Rattus norvegicus (Rat)		Trpm2	calcium ion binding [GO:0005509]; calcium-release channel activity [GO:0015278]; cation channel activity [GO:0005261]; ligand-gated calcium channel activity [GO:0099604]; manganese ion transmembrane transporter activity [GO:0005384]; mono-ADP-D-ribose binding [GO:0072571]; sodium channel activity [GO:0005272]	Transient receptor potential cation channel subfamily M member 2
A5D7B7	SEPR_BOVIN	Prolyl endopeptidase FAP (EC 3.4.21.26) (Dipeptidyl peptidase FAP) (EC 3.4.14.5) (Fibroblast activation protein alpha) (FAPalpha) (Gelatine degradation protease FAP) (EC 3.4.21.-) (Integral membrane serine protease) (Post-proline cleaving enzyme) (Serine integral membrane protease) (SIMP) (Surface-expressed protease) (Seprase) (Z-Pro-prolinal insensitive peptidase) (ZIP) [Cleaved into: Antiplasmin-cleaving enzyme FAP, soluble form (APCE) (EC 3.4.14.5) (EC 3.4.21.-) (EC 3.4.21.26)]	Peptidase S9B family	Bos taurus (Bovine)	3.4.21.26; 3.4.14.5; 3.4.21.-; 3.4.14.5; 3.4.21.-; 3.4.21.26	FAP	dipeptidyl-peptidase activity [GO:0008239]; integrin binding [GO:0005178]; protease binding [GO:0002020]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase activity [GO:0004252]	Prolyl endopeptidase FAP
O00506	STK25_HUMAN	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Homo sapiens (Human)	2.7.11.1	STK25	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase 25
A2APX8	SCN1A_MOUSE	Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1)	Sodium channel (TC 1.A.1.10) family, Nav1.1/SCN1A subfamily	Mus musculus (Mouse)		Scn1a	sodium ion binding [GO:0031402]; voltage-gated ion channel activity [GO:0005244]; voltage-gated sodium channel activity [GO:0005248]	Sodium channel protein type 1 subunit alpha
A8NS89	GOB1_BRUMA	Trehalose-phosphatase (EC 3.1.3.12) (Trehalose-6-phosphate phosphatase) (TPP)	Gob-1 trehalose phosphatase family	Brugia malayi (Filarial nematode worm)	3.1.3.12		magnesium ion binding [GO:0000287]; trehalose-phosphatase activity [GO:0004805]	Trehalose-phosphatase
O00487	PSDE_HUMAN	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	Peptidase M67A family, PSMD14 subfamily	Homo sapiens (Human)	3.4.19.-	PSMD14	endopeptidase activator activity [GO:0061133]; isopeptidase activity [GO:0070122]; Lys63-specific deubiquitinase activity [GO:0061578]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; proteasome binding [GO:0070628]; thiol-dependent deubiquitinase [GO:0004843]	26S proteasome non-ATPase regulatory subunit 14
A8Q2D1	NAS35_BRUMA	Zinc metalloproteinase dpy-31 (EC 3.4.24.-) (Nematode astacin 35) (Procollagen C-proteinase)		Brugia malayi (Filarial nematode worm)	3.4.24.-	dpy-31	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	Zinc metalloproteinase dpy-31
A4IFJ5	PA24A_BOVIN	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]		Bos taurus (Bovine)	3.1.1.4; 3.1.1.5	PLA2G4A	calcium-dependent phospholipase A2 activity [GO:0047498]; calcium-dependent phospholipid binding [GO:0005544]; calcium-independent phospholipase A2 activity [GO:0047499]; calcium ion binding [GO:0005509]; ceramide 1-phosphate binding [GO:1902387]; lysophospholipase activity [GO:0004622]; O-acyltransferase activity [GO:0008374]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; phosphatidyl phospholipase B activity [GO:0102545]; phospholipase A2 activity [GO:0004623]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]	Cytosolic phospholipase A2
A2AGL3	RYR3_MOUSE	Ryanodine receptor 3 (RYR-3) (RyR3) (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodine receptor)	Ryanodine receptor (TC 1.A.3.1) family, RYR3 subfamily	Mus musculus (Mouse)		Ryr3	calcium-induced calcium release activity [GO:0048763]; calcium ion binding [GO:0005509]; calcium-release channel activity [GO:0015278]; calmodulin binding [GO:0005516]; ryanodine-sensitive calcium-release channel activity [GO:0005219]	Ryanodine receptor 3
O00141	SGK1_HUMAN	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Homo sapiens (Human)	2.7.11.1	SGK1	ATP binding [GO:0005524]; calcium channel regulator activity [GO:0005246]; chloride channel regulator activity [GO:0017081]; potassium channel regulator activity [GO:0015459]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; sodium channel regulator activity [GO:0017080]	Serine/threonine-protein kinase Sgk1
A8PUY1	A8PUY1_MALGO	LIP1, secretory lipase (Family 3)		Malassezia globosa (strain ATCC MYA-4612 / CBS 7966) (Dandruff-associated fungus)				LIP1, secretory lipase
A8RR46	A8RR46_ALKCL	Beta-lactamase (EC 3.5.2.6)	Class-A beta-lactamase family	Alkalihalobacillus clausii (Bacillus clausii)	3.5.2.6	bcl1	beta-lactamase activity [GO:0008800]	Beta-lactamase
C3SWJ7	C3SWJ7_ECOLX	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Thymidylate synthase family, Bacterial-type ThyA subfamily	Escherichia coli	2.1.1.45	thyA	thymidylate synthase activity [GO:0004799]	Thymidylate synthase
D6NSM8	D6NSM8_ACIBA	Beta-lactamase (EC 3.5.2.6)	Class-C beta-lactamase family	Acinetobacter baumannii	3.5.2.6	ampC	beta-lactamase activity [GO:0008800]	Beta-lactamase
D3W065	D3W065_CHRVL	CviR transcriptional regulator (Regulatory LuxR family protein)		Chromobacterium violaceum		cviR	DNA binding [GO:0003677]	CviR transcriptional regulator
A0A0S4TER9	A0A0S4TER9_CRYHO	Bifunctional dihydrofolate reductase-thymidylate synthase	Thymidylate synthase family; Dihydrofolate reductase family	Cryptosporidium hominis			dihydrofolate reductase activity [GO:0004146]; thymidylate synthase activity [GO:0004799]	Bifunctional dihydrofolate reductase-thymidylate synthase
A3FQ79	A3FQ79_CRYPI	Mitogen-activated protein kinase (EC 2.7.11.24)	Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily	Cryptosporidium parvum (strain Iowa II)	2.7.11.24		ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Mitogen-activated protein kinase
D5FGE8	D5FGE8_TRYCR	Putative amino acid permease/transporter (Putative polyamine transporter)	Amino acid-polyamine-organocation (APC) superfamily, Polyamine:cation symporter (PHS) (TC 2.A.3.12) family	Trypanosoma cruzi		POT1.5	transmembrane transporter activity [GO:0022857]	Putative amino acid permease/transporter
C0L093	C0L093_TOBAC	Acetolactate synthase (EC 2.2.1.6)	TPP enzyme family	Nicotiana tabacum (Common tobacco)	2.2.1.6		acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	Acetolactate synthase
K7N5L9	K7N5L9_RAPSA	Peroxidase (EC 1.11.1.7)	Peroxidase family, Classical plant (class III) peroxidase subfamily	Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus)	1.11.1.7		heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]	Peroxidase
C4LW95	C4LW95_ENTHI	Thioredoxin reductase (EC 1.8.1.9)	Class-II pyridine nucleotide-disulfide oxidoreductase family	Entamoeba histolytica	1.8.1.9		nucleotide binding [GO:0000166]; thioredoxin-disulfide reductase activity [GO:0004791]	Thioredoxin reductase
D3ZDM7	D3ZDM7_RAT	D-aspartate oxidase (EC 1.4.3.1) (RCG38204, isoform CRA_d)	DAMOX/DASOX family	Rattus norvegicus (Rat)	1.4.3.1	Ddo	D-amino-acid oxidase activity [GO:0003884]; D-aspartate oxidase activity [GO:0008445]; FAD binding [GO:0071949]	D-aspartate oxidase
B0BNF9	B0BNF9_RAT	Hydroxyacid oxidase 1 (Hydroxyacid oxidase 1 (Mapped))	FMN-dependent alpha-hydroxy acid dehydrogenase family	Rattus norvegicus (Rat)		Hao1	(S)-2-hydroxy-acid oxidase activity [GO:0003973]; FMN binding [GO:0010181]; glycolate oxidase activity [GO:0008891]	Hydroxyacid oxidase 1
B0FL73	B0FL73_CAVPO	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor)	G-protein coupled receptor 1 family	Cavia porcellus (Guinea pig)		ADRB1	beta1-adrenergic receptor activity [GO:0004940]	Beta-1 adrenergic receptor
D3ZUM4	D3ZUM4_RAT	Beta-galactosidase (EC 3.2.1.23)	Glycosyl hydrolase 35 family	Rattus norvegicus (Rat)	3.2.1.23	Glb1	beta-galactosidase activity [GO:0004565]; galactoside binding [GO:0016936]; hydrolase activity [GO:0016787]; protein homodimerization activity [GO:0042803]	Beta-galactosidase
G3V783	G3V783_RAT	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (Tyrosine-protein kinase RIPK2)	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Rattus norvegicus (Rat)	2.7.11.1	Ripk2	ATP binding [GO:0005524]; CARD domain binding [GO:0050700]; caspase binding [GO:0089720]; identical protein binding [GO:0042802]; JUN kinase kinase kinase activity [GO:0004706]; LIM domain binding [GO:0030274]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; signaling receptor binding [GO:0005102]	Receptor-interacting serine/threonine-protein kinase 2
D3ZGQ2	D3ZGQ2_RAT	Thymidine kinase 2 (Thymidine kinase 2, mitochondrial (Predicted))	DCK/DGK family	Rattus norvegicus (Rat)		Tk2	ATP binding [GO:0005524]; deoxycytidine kinase activity [GO:0004137]; deoxynucleoside kinase activity [GO:0019136]; thymidine kinase activity [GO:0004797]	Thymidine kinase 2
G3IAK4	G3IAK4_CRIGR	Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	Peptidase A1 family	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	3.4.23.46		amyloid-beta binding [GO:0001540]; aspartic-type endopeptidase activity [GO:0004190]; enzyme binding [GO:0019899]	Beta-secretase 1
A0A286XTF2	A0A286XTF2_CAVPO	Opioid receptor delta 1	G-protein coupled receptor 1 family	Cavia porcellus (Guinea pig)		OPRD1	G protein-coupled enkephalin receptor activity [GO:0038046]	Opioid receptor delta 1
B5THE3	B5THE3_MOUSE	Sucrase-isomaltase (EC 3.2.1.10)	Glycosyl hydrolase 31 family	Mus musculus (Mouse)	3.2.1.10	Sis	alpha-1,4-glucosidase activity [GO:0004558]; beta-fructofuranosidase activity [GO:0004564]; carbohydrate binding [GO:0030246]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; oligo-1,6-glucosidase activity [GO:0004574]	Sucrase-isomaltase
E2QDN0	E2QDN0_ECOLX	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Thymidylate synthase family, Bacterial-type ThyA subfamily	Escherichia coli LF82	2.1.1.45	thyA	thymidylate synthase activity [GO:0004799]	Thymidylate synthase
J7HAW4	J7HAW4_RAPRA	Acetolactate synthase (EC 2.2.1.6) (Fragment)	TPP enzyme family	Raphanus raphanistrum (Wild radish)	2.2.1.6		acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	Acetolactate synthase
D5HSX5	D5HSX5_9GAMM	Beta-lactamase (EC 3.5.2.6)	Class-A beta-lactamase family	Aeromonas allosaccharophila	3.5.2.6	blaPER-6	beta-lactamase activity [GO:0008800]	Beta-lactamase
A4ZYU9	A4ZYU9_ECOLX	Beta-lactamase (EC 3.5.2.6)	Class-C beta-lactamase family	Escherichia coli	3.5.2.6	blaACC-4	beta-lactamase activity [GO:0008800]	Beta-lactamase
B5ATN6	B5ATN6_PSEAI	UDP-3-O-acyl-N-acetylglucosamine deacetylase (EC 3.5.1.108) (Fragment)		Pseudomonas aeruginosa	3.5.1.108	lpxC	metal ion binding [GO:0046872]; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity [GO:0008759]; UDP-3-O-acyl-N-acetylglucosamine deacetylase activity [GO:0103117]	UDP-3-O-acyl-N-acetylglucosamine deacetylase
A1E3K9	A1E3K9_ECOLX	Beta-lactamase (EC 3.5.2.6)	Class-A beta-lactamase family	Escherichia coli	3.5.2.6	blaSCO-1	beta-lactamase activity [GO:0008800]	Beta-lactamase
O07911	O07911_STAAU	Accessory gene regulator C (Accessory gene regulator protein C) (AgrC) (Regulator protein agrC) (EC 2.7.13.3) (Sensory histidine kinase DcuS)		Staphylococcus aureus	2.7.13.3	agrC	protein histidine kinase activity [GO:0004673]	Accessory gene regulator C
A0A0E7NXW5	A0A0E7NXW5_STAAU	Bifunctional ligase/repressor BirA (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)	Biotin--protein ligase family	Staphylococcus aureus	6.3.4.15	birA	ATP binding [GO:0005524]; biotin-[acetyl-CoA-carboxylase] ligase activity [GO:0004077]; DNA binding [GO:0003677]	Bifunctional ligase/repressor BirA
C3TDZ2	C3TDZ2_ECOLX	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	Thiolase-like superfamily, FabH family	Escherichia coli	2.3.1.180	fabH	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; beta-ketoacyl-acyl-carrier-protein synthase III activity [GO:0033818]	3-oxoacyl-[acyl-carrier-protein] synthase 3
